"","X","ID","day","missing","Afraid","Active","Alert","Nervous","Attentive","Determined","Hostile","Inspired","Ashamed","Upset"
"3421",36.88,36,88,0,0,0.25,0.5,0,0.25,0.25,0,0.25,0,0
"3422",36.89,36,89,0,0,0.5,0.25,0,0.25,0,0,0,0,0
"3423",36.9,36,90,0,0,0.5,0.25,0,0,0.25,0,0.25,0,0
"3424",36.91,36,91,0,0,0.25,0.25,0,0,0.25,0,0.25,0,0
"3425",36.92,36,92,0,0,0.5,0.5,0,0.5,0.25,0,0.25,0,0
"3426",36.93,36,93,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3427",36.94,36,94,0,0,0.25,0.5,0,0.25,0.25,0,0.25,0,0
"3428",36.95,36,95,0,0,0.5,0.25,0,0.25,0,0,0,0,0
"3429",36.96,36,96,0,0,0.25,0.25,0,0.25,0.25,0,0.25,0,0
"3430",36.97,36,97,0,0,0,0,0,0,0,0,0,0,0
"3431",36.98,36,98,0,0,0.25,0.25,0,0.25,0.25,0,0.25,0,0
"3432",36.99,36,99,0,0,0.5,0.25,0,0.25,0.25,0,0.25,0,0
"3433",36.1,36,100,2,0,0.5,0.5,0,0,0,0,0.25,NA,0
"3434",36.101,36,101,0,0,0.75,0.25,0,0.25,0.5,0,0,0,0
"3435",37.1,37,1,0,0.25,0.75,0.75,0.25,0.75,0.5,0,0.25,0.25,0.5
"3436",37.2,37,2,0,0.25,1,0.75,0,0.75,0.5,0,0.5,0,0.25
"3437",37.3,37,3,0,0.25,0.25,0.25,0.25,0.25,0.25,0,0,0.25,0.75
"3438",37.4,37,4,0,0,0.75,0.75,0,0.75,1,0,0.5,0,0.25
"3439",37.5,37,5,0,0.5,0.25,0,0.25,0.25,0.5,0,0.25,0.25,0.25
"3440",37.6,37,6,0,0,0,0.5,0.25,0.5,0.25,0,0.25,0,0.25
"3441",37.7,37,7,0,0,0.5,0.5,0,0.5,0.75,0,0.75,0,0.25
"3442",37.8,37,8,0,0.5,0.25,0.25,0.5,0.5,0.5,0.25,0.25,0.25,0.75
"3443",37.9,37,9,0,0.25,0,0,0.25,0.25,0,0,0,0,0.25
"3444",37.1,37,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3445",37.11,37,11,0,0.5,0,0,0.5,0,0.25,0,0,0,0.75
"3446",37.12,37,12,0,0.25,0,0.25,0.5,0.25,0.25,0,0.25,0.75,0.75
"3447",37.13,37,13,0,0.25,0.25,0,0.25,0.25,0,0,0,0,0.5
"3448",37.14,37,14,0,0.25,0.5,0,0.25,0,0.75,0,0,0,0.25
"3449",37.15,37,15,0,0,0,0,0.25,0,0.25,0,0,0,0.5
"3450",37.16,37,16,0,0.25,0.5,0.25,0.25,0.25,0.5,0,0.5,0,0.25
"3451",37.17,37,17,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3452",37.18,37,18,0,0,0.5,0,0,0.25,0.75,0.5,0.5,0,0.75
"3453",37.19,37,19,0,0,1,0.5,0.25,0.25,0.75,0,0.5,0,0.25
"3454",37.2,37,20,0,0.5,0,0,0.25,0,0.25,0.25,0.25,0.25,0.5
"3455",37.21,37,21,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3456",37.22,37,22,0,0,0,0.25,0.25,0,0.5,0,0.25,0,0.25
"3457",37.23,37,23,0,0.5,0.5,0,0.5,0,0.25,0.25,0,0.25,0.5
"3458",37.24,37,24,0,0.25,0.25,0,0.25,0,0,0.5,0,0.5,0.75
"3459",37.25,37,25,0,0.5,0.5,0.25,0.5,0.25,0.25,0.25,0,0.25,0.75
"3460",37.26,37,26,0,0.5,0.25,0.25,0.25,0,0.25,0,0.25,0.25,0.5
"3461",37.27,37,27,0,0,0.25,0.5,0.25,0.25,0.25,0,0.25,0,0.25
"3462",37.28,37,28,0,0,0.5,0.5,0,0.5,0.25,0,0.25,0,0
"3463",37.29,37,29,0,0,0.75,0.5,0,0.5,0.25,0,0.75,0,0
"3464",37.3,37,30,0,0.25,0.25,0.25,0.25,0.5,0.5,0.25,0.25,0,0.5
"3465",37.31,37,31,0,0.5,0.5,0.25,0.5,0.25,0.25,0.5,0.25,0.5,0.75
"3466",37.32,37,32,0,0,0.5,0.25,0.25,0.5,0.5,0.25,0.25,0,0.25
"3467",37.33,37,33,0,0,0,0.25,0,0.25,0.25,0,0.5,0,0.25
