"","X","ID","day","beep","observationID","missing","Sad","Lonely","Jittery","Nervous","Angry","Hostile","Happy","Excited"
"314",314,118,3,2,8,0,0,0.25,0,0,0.25,0,0,0
"315",315,118,3,3,9,0,0,0.25,0.25,0,0,0,0.25,0
"316",316,118,4,1,10,0,0,0,0,0,0.25,0,0.25,0
"317",317,118,4,2,11,0,0,0,0,0.25,0.25,0.25,0.25,0.25
"318",318,118,4,3,12,0,0,0,0,0.25,0,0,0.5,0.25
"319",319,118,5,1,13,0,0,0.25,0.25,0.5,0.25,0.25,0.5,0.25
"320",320,118,5,2,14,0,0,0.75,0.25,0.75,1,0.25,0.25,0.25
"321",321,118,5,3,15,0,0.5,0.25,0.25,0.5,0.5,0.25,0,0
"322",322,118,6,1,16,0,0.25,0.75,0,0.25,0,0.25,0,0
"323",323,118,6,2,17,0,0.25,0,0,0.25,0.5,0.5,0,0
"324",324,118,6,3,18,0,0.25,0,0,0.25,0,0,0,0
"325",325,119,1,1,1,0,0.5,0,0.5,0.75,0,0,0,0
"326",326,119,1,2,2,0,0.25,0.5,0.75,1,0,0,0,0
"327",327,119,1,3,3,0,0.75,0.5,0.5,1,0,0,0,0
"328",328,119,2,1,4,0,0.25,0.25,0.75,1,0,0,0.25,0
"329",329,119,2,2,5,0,0.25,0,0.5,0.75,0,0,0.25,0
"330",330,119,2,3,6,0,0.25,0,1,1,0,0,0.75,0.25
"331",331,119,3,1,7,1,NA,NA,NA,NA,NA,NA,NA,NA
"332",332,119,3,2,8,0,0.25,0,0,0.75,0,0,0.5,0
"333",333,119,3,3,9,0,0.5,0,0.25,1,0,0,0,0
"334",334,119,4,1,10,0,1,0.5,0.25,1,0,0,0,0
"335",335,119,4,2,11,0,0.75,0.5,0.5,1,0,0,0,0
"336",336,119,4,3,12,0,1,0.25,0,1,0,0,0,0
"337",337,119,5,1,13,0,0.5,0,0.75,1,0,0,0.25,0.25
"338",338,119,5,2,14,1,NA,NA,NA,NA,NA,NA,NA,NA
"339",339,119,5,3,15,1,NA,NA,NA,NA,NA,NA,NA,NA
"340",340,119,6,1,16,0,0.25,0.5,0,1,0,0,0.25,0
"341",341,119,6,2,17,1,NA,NA,NA,NA,NA,NA,NA,NA
"342",342,119,6,3,18,0,0.75,0.5,0,0.75,0,0,0,0
"343",343,120,1,1,1,0,0.25,0,0,0.25,0,0,0.25,0
"344",344,120,1,2,2,0,0,0.25,0.25,0.25,0,0,0.25,0
"345",345,120,1,3,3,0,0,0,0,0,0,0,0.25,0
"346",346,120,2,1,4,0,0,0,0.25,0,0.25,0.25,0,0
"347",347,120,2,2,5,0,0,0,0.25,0.25,0,0,0.5,0
"348",348,120,2,3,6,0,0,0,0.25,0.5,0.25,0,0.25,0
