"","X","ID","day","beep","obsNumber","missed","Discontent","Calm","Energetic","Wellbeing","Tense","Happy"
"825",35.813,35,3,7,22,0,1,1,0.166666666666667,1,0.833333333333333,0.833333333333333
"826",35.812,35,3,8,23,0,1,1,0.333333333333333,1,0.833333333333333,0.833333333333333
"827",35.811,35,4,1,24,0,1,0.666666666666667,0.666666666666667,1,0.666666666666667,0.833333333333333
"828",35.81,35,4,2,25,0,1,0.833333333333333,0.5,1,0.833333333333333,0.833333333333333
"829",35.809,35,4,3,26,0,1,0.833333333333333,0.666666666666667,1,0.666666666666667,0.833333333333333
"830",35.808,35,4,4,27,0,1,1,0.5,1,0.833333333333333,1
"831",35.807,35,4,5,28,0,0.833333333333333,0.833333333333333,0.5,0.833333333333333,0.666666666666667,0.833333333333333
"832",35.806,35,4,6,29,0,0.833333333333333,0.666666666666667,0.333333333333333,1,0.5,0.833333333333333
"833",35.805,35,4,7,30,0,1,0.666666666666667,0.5,1,0.666666666666667,0.833333333333333
"834",35.804,35,4,8,31,0,0.833333333333333,1,0.333333333333333,0.333333333333333,0.833333333333333,0.666666666666667
"835",36.87,36,1,1,1,0,0.666666666666667,0.833333333333333,0.666666666666667,0.833333333333333,0.666666666666667,0.666666666666667
"836",36.869,36,1,2,2,0,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667
"837",36.868,36,1,3,3,1,NA,NA,NA,NA,NA,NA
"838",36.867,36,1,4,4,0,0.833333333333333,0.666666666666667,0.833333333333333,0.833333333333333,0.833333333333333,0.666666666666667
"839",36.866,36,1,5,5,0,0.833333333333333,0.666666666666667,0.833333333333333,0.833333333333333,0.666666666666667,0.666666666666667
"840",36.865,36,1,6,6,1,NA,NA,NA,NA,NA,NA
"841",36.864,36,1,7,7,0,0.833333333333333,0.666666666666667,1,0.833333333333333,0.666666666666667,0.833333333333333
"842",36.863,36,1,8,8,1,NA,NA,NA,NA,NA,NA
"843",36.862,36,2,1,9,0,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.333333333333333,0.666666666666667
"844",36.861,36,2,2,10,0,0.666666666666667,0.666666666666667,0.666666666666667,0.833333333333333,0.666666666666667,0.666666666666667
"845",36.86,36,2,3,11,1,NA,NA,NA,NA,NA,NA
"846",36.859,36,2,4,12,0,0.5,0.666666666666667,0.333333333333333,0.666666666666667,0.666666666666667,0.666666666666667
"847",36.858,36,2,5,13,1,NA,NA,NA,NA,NA,NA
"848",36.857,36,2,6,14,0,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667,0.666666666666667
"849",36.856,36,2,7,15,0,0.666666666666667,0.666666666666667,0.333333333333333,0.666666666666667,0.666666666666667,0.5
"850",36.855,36,3,1,16,1,NA,NA,NA,NA,NA,NA
"851",36.854,36,3,2,17,0,0.666666666666667,0.666666666666667,0.333333333333333,0.666666666666667,0.666666666666667,0.666666666666667
"852",36.853,36,3,3,18,0,0.833333333333333,0.666666666666667,1,0.666666666666667,0.666666666666667,0.666666666666667
"853",36.852,36,3,4,19,0,0.666666666666667,0.666666666666667,0.833333333333333,0.666666666666667,0.666666666666667,0.666666666666667
